word,ipa_original,ipa_clean,ipa_changed,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
すってんてん,sutteŋteŋ,suttenteŋ,1,3,7,7,5,9,0,600.0,4.54,6,2000.0,5.09,5,c,2,#BEBEBE,77.0,-0.0,0.0,無一文。最大の乾燥と低い重量。,,2,5,0,0,Q(促音単発)
すっぱり,suppaɾi,suppaɾi,0,4,8,9,7,7,2,700.0,4.93,8,11000.0,7.98,8,c,2,#FFFFFF,100.0,-0.0,0.0,鮮やかな切断。高いSpace直接性と時間性。,,5,5,5,8,COMPOUND(複合・異種)
すっぽんぽん,suppoŋpoŋ,suppompoŋ,1,1,5,4,0,9,5,450.0,3.81,4,1000.0,3.91,3,h,6,#FFDAB9,89.4,8.1,21.0,露出。最小のWeightとFlow抑制。,,2,5,0,0,Q(促音単発)
すてん,suteŋ,suteŋ,0,4,9,6,7,7,3,300.0,2.78,8,4000.0,6.27,8,mc,3,#808080,53.6,-0.0,0.0,転倒の衝撃。高いTime突発性と直接性。,,3,6,0,0,N(撥音単発)
すとん,sutoŋ,sutoŋ,0,5,8,9,8,6,4,250.0,2.32,8,3500.0,6.04,9,mc,3,#696969,44.4,-0.0,0.0,垂直落下。最大の空間直接性と落着。,,3,6,0,0,N(撥音単発)
すぱすぱ,supasupa,supasupa,0,2,7,6,2,8,3,800.0,5.26,6,9000.0,7.64,6,h,6,#FFFFFF,100.0,-0.0,0.0,喫煙や切断。周期的破裂と流体運動。,,4,5,6,1,REDUP(畳語・同一)
すぱっと,supatto,supatto,0,4,9,9,8,6,2,900.0,5.56,9,12000.0,8.13,9,h,6,#FFFFFF,100.0,-0.0,0.0,迅速な切断。最大のTimeと圧縮性(Bo)。,,5,5,5,8,COMPOUND(複合・異種)
すぱり,supaɾi,supaɾi,0,3,7,8,4,8,3,850.0,5.42,7,7000.0,7.22,7,h,6,#FFFFFF,100.0,-0.0,0.0,弾き音による鮮やかな完了感。,,4,6,0,0,RI(り単発)
すべすべ,subesube,subesube,0,1,2,2,0,9,4,400.0,3.51,2,100.0,0.0,1,mh,5,#FFF5EE,97.1,2.2,4.6,平滑な表面。最小のWeightと最大の流体性。,,4,5,6,1,REDUP(畳語・同一)
すぽっ,supoʔ,supoʔ,0,3,9,9,7,8,6,450.0,3.81,9,14000.0,8.39,9,mh,5,#FFFFFF,100.0,-0.0,0.0,抜去。高いBo数（気圧解放）と時間性。,,2,5,0,0,Q(促音単発)
すやすや,sujasuja,sujasuja,0,1,1,1,0,9,6,300.0,2.78,1,300.0,1.87,1,mh,5,#E6E6FA,91.8,3.7,-9.7,安眠。最小エフォート。穏やかな層流。,,4,5,6,1,REDUP(畳語・同一)
すらすら,suɾasuɾa,suɾasuɾa,0,1,5,3,0,9,2,600.0,4.54,4,4000.0,6.27,2,mh,5,#FFFFFF,100.0,-0.0,0.0,滑らかな発話・進行。自由なFlow。,,4,5,6,1,REDUP(畳語・同一)
すらり,suɾaɾi,suɾaɾi,0,1,6,7,2,9,3,650.0,4.74,5,3500.0,6.04,4,h,6,#F0FFFF,98.9,-4.9,-1.7,美しい直線。高いSpace直接性と流体感。,,4,6,0,0,RI(り単発)
するする,suɾusuɾu,suɾusuɾu,0,1,4,4,1,9,4,550.0,4.32,3,2500.0,5.47,3,mc,3,#FFFFFF,100.0,-0.0,0.0,摩擦のない滑り。低いWeightと高い流体性。,,4,5,6,1,REDUP(畳語・同一)
するっと,surutto,suɾutto,1,2,8,8,3,9,4,600.0,4.54,8,7000.0,7.22,7,h,6,#FFFFFF,100.0,-0.0,0.0,瞬時の通過。高い時間性と圧縮。,,5,5,5,8,COMPOUND(複合・異種)
すれすれ,suɾesuɾe,suɾesuɾe,0,4,4,9,9,6,2,700.0,4.93,4,11000.0,7.98,8,c,2,#808080,53.6,-0.0,0.0,限界。最大のSpace直接性とFlow抑制。,,4,5,6,1,REDUP(畳語・同一)
すんなり,sunnaɾi,sunnaɾi,0,2,4,5,2,9,7,300.0,2.78,4,1200.0,4.22,6,mh,5,#F5F5DC,95.9,-4.2,12.0,抵抗のない移行。鼻音による適度なMoisture。,,5,5,5,8,COMPOUND(複合・異種)
ずかずか,zukazuka,dzukazuka,1,7,7,9,0,6,2,350.0,3.17,6,8000.0,7.44,8,h,6,#8B0000,28.1,51.0,41.3,無遠慮な侵入。高いWeightと最大の直接性。,,4,5,6,1,REDUP(畳語・同一)
ずきずき,zukidzuki,dzukizuki,1,7,5,8,9,4,5,450.0,3.81,5,9000.0,7.64,9,h,6,#FF0000,53.2,80.1,67.2,拍動性の痛み。高いWeightと内部圧力(Bo)。,,4,5,6,1,REDUP(畳語・同一)
ずけずけ,zukedzuke,dzukezuke,1,6,7,9,4,6,2,380.0,3.38,7,10000.0,7.82,8,h,6,#FF4500,57.6,67.8,69.0,遠慮のない言動。最大のSpace直接性。,,4,5,6,1,REDUP(畳語・同一)
ずしっ,zuɕiʔ,dzuɕiʔ,1,9,9,9,9,2,4,220.0,2.0,9,16000.0,8.62,9,mc,3,#000000,0.0,0.0,0.0,強大な重量衝撃。最大のWeightと時間性。,,2,5,0,0,Q(促音単発)
ずずん,zuzuŋ,dzuzuŋ,1,9,3,7,7,3,6,100.0,0.0,2,6000.0,6.95,9,c,2,#000000,0.0,0.0,0.0,低周波の地響き。極大のWeightとBo数。,,3,6,0,0,N(撥音単発)
ずたずた,dztadzta,dzutazuta,1,7,8,8,6,4,2,300.0,2.78,7,12000.0,8.13,7,c,2,#8B4513,37.5,26.4,41.0,切り刻む破壊。高いWeightと時間的突発性。,,4,5,6,1,REDUP(畳語・同一)
ずっしり,zuɕɕiɾi,dzuɕɕiɾi,1,9,4,8,9,3,5,200.0,1.75,6,4500.0,6.47,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,安定した重量。最大のWeightと抑制。,,5,5,5,8,COMPOUND(複合・異種)
ずばずば,zubazuba,dzubazuba,1,6,7,9,1,7,4,320.0,2.94,6,11000.0,7.98,8,h,6,#FF0000,53.2,80.1,67.2,明快な言動。高い空間直接性と自由なFlow。,,4,5,6,1,REDUP(畳語・同一)
ずるずる,dzuɾudzuɾu,dzuɾuzuɾu,1,7,2,3,8,6,8,180.0,1.49,2,1500.0,4.6,9,mc,3,#556B2F,42.2,-18.8,30.6,摩擦を伴う粘性移動。高いWeightと抑制。,,4,5,6,1,REDUP(畳語・同一)
ずんぐり,zuŋɡuɾi,dzuŋɡuɾi,1,7,2,4,9,4,7,160.0,1.19,4,900.0,3.73,9,c,2,#4B3621,24.5,6.4,16.8,低重心・肥満。最大のFlow抑制とWeight。,,5,5,5,8,COMPOUND(複合・異種)
ずんずん,zuŋzuŋ,dzuŋzuŋ,1,8,6,9,3,5,5,220.0,2.0,2,8000.0,7.44,9,h,6,#000080,13.0,47.5,-64.7,迷いのない邁進。強大なWeightとSpace 9。,,4,5,6,1,REDUP(畳語・同一)
せかせか,sekaseka,sekaseka,0,4,8,5,8,7,2,800.0,5.26,7,9000.0,7.64,6,h,6,#FF8C00,69.5,36.8,75.5,焦り。高いTime突発性とFlow抑制。,,4,5,6,1,REDUP(畳語・同一)
せっせと,sesseto,sesseto,0,5,7,8,8,6,3,600.0,4.54,7,7000.0,7.22,7,mh,5,#DAA520,70.8,8.5,68.8,勤勉。高い抑制と空間的直接性。,,5,5,5,8,COMPOUND(複合・異種)
せりせり,seɾiseɾi,seɾiseɾi,0,4,5,5,9,5,2,1100.0,6.07,5,12000.0,8.13,7,c,2,#C0C0C0,77.7,-0.0,0.0,氷などの微細な摩擦。高い抑制と高周波。,,4,5,6,1,REDUP(畳語・同一)
そそくさ,sosokusa,sosokusa,0,2,8,3,2,9,1,900.0,5.56,8,7000.0,7.22,4,mh,5,#FFFFFF,100.0,-0.0,0.0,慌ただしい退散。高い時間性と流体性。,,5,5,5,8,COMPOUND(複合・異種)
そっくり,sokkuɾi,sokkuɾi,0,5,7,9,9,3,4,500.0,4.07,8,4000.0,6.27,9,mc,3,#808080,53.6,-0.0,0.0,酷似・全部。最大の空間直接性と抑制。,,5,5,5,8,COMPOUND(複合・異種)
そよそよ,sojosojo,sojosojo,0,1,2,2,0,9,4,350.0,3.17,2,300.0,1.87,1,mh,5,#F0FFF0,98.6,-7.6,5.5,微風。最小のWeightと自由なFlow。,,4,5,6,1,REDUP(畳語・同一)
そろそろ,soɾosoɾo,soɾosoɾo,0,3,3,4,5,9,5,320.0,2.94,3,900.0,3.73,4,mh,5,#F5F5DC,95.9,-4.2,12.0,緩慢な開始。低いTimeと高い流体性。,,4,5,6,1,REDUP(畳語・同一)
そろり,soɾoɾi,soɾoɾi,0,2,4,6,7,9,4,400.0,3.51,5,1500.0,4.6,5,mh,5,#FFFFFF,100.0,-0.0,0.0,慎重な運動。高い抑制と流体的な余韻。,,4,6,0,0,RI(り単発)
そわそわ,sowasowa,sowasowa,0,3,6,2,4,8,5,380.0,3.38,5,4500.0,6.47,5,h,6,#FFFFE0,99.3,-5.1,14.8,不安な揺らぎ。低いSpaceと不定形な流体性。,,4,5,6,1,REDUP(畳語・同一)
ぞくぞく,zokuzoku,dzokuzoku,1,6,7,6,9,5,3,300.0,2.78,7,11000.0,7.98,8,ccc,0,#00FFFF,91.1,-48.1,-14.1,悪寒・興奮。高い抑制と極寒(ccc)。,,4,5,6,1,REDUP(畳語・同一)
ぞっ,zoʔ,dzoʔ,1,7,9,8,9,4,2,280.0,2.61,9,15000.0,8.51,9,ccc,0,#000000,0.0,0.0,0.0,瞬間的恐怖。最大のTimeと極寒(ccc)。,,2,5,0,0,Q(促音単発)
ぞっこん,zokkoŋ,dzokkoŋ,1,6,8,9,9,4,5,350.0,3.17,8,9000.0,7.64,9,hh,7,#FF0000,53.2,80.1,67.2,執着。最大の抑制と空間的直接性。,,5,5,5,8,COMPOUND(複合・異種)
ぞりぞり,dzoɾidzoɾi,dzoɾizoɾi,1,6,6,7,8,4,1,450.0,3.81,6,13000.0,8.27,7,c,2,#556B2F,42.2,-18.8,30.6,剛毛の剃り。濁音によるWeightと乾燥。,,4,5,6,1,REDUP(畳語・同一)
ぞろぞろ,dzoɾodzoɾo,dzoɾozoɾo,1,6,3,3,4,8,7,220.0,2.0,2,3500.0,6.04,8,mc,3,#8B4513,37.5,26.4,41.0,多人数の移動。高い流体性とMoisture。,,4,5,6,1,REDUP(畳語・同一)
たじたじ,tadʑitadʑi,tadʑitadʑi,0,4,7,3,7,7,5,400.0,3.51,7,1500.0,4.6,5,c,2,#BDB76B,73.4,-8.8,39.3,圧倒。低いSpaceと高いFlow抑制。,,4,5,6,1,REDUP(畳語・同一)
たっぷり,tappuɾi,tappuɾi,0,5,4,5,3,8,9,300.0,2.78,6,2500.0,5.47,9,mh,5,#FFD700,86.9,-1.9,87.1,潤沢。最大のMoistureと流体性。,,5,5,5,8,COMPOUND(複合・異種)
たらたら,taɾataɾa,taɾataɾa,0,3,4,2,2,9,9,280.0,2.61,3,1000.0,3.91,9,mh,5,#4169E1,47.8,26.3,-65.3,液体の滴下。高い流体性とMoisture。,,4,5,6,1,REDUP(畳語・同一)
だくだく,dakudaku,dakudaku,0,6,5,4,3,8,9,220.0,2.0,5,2000.0,5.09,9,mh,5,#1E90FF,59.4,10.0,-63.4,激しい流出。有声音によるWeightと水分量。,,4,5,6,1,REDUP(畳語・同一)
だぶだぶ,dabudabu,dabudabu,0,7,3,2,4,9,9,150.0,1.03,2,1200.0,4.22,9,c,2,#191970,15.9,31.7,-49.6,過剰な液体・布。最大の流体性とMoisture。,,4,5,6,1,REDUP(畳語・同一)
だらだら,daɾadaɾa,daɾadaɾa,0,6,2,1,4,9,9,180.0,1.49,1,800.0,3.53,9,mh,5,#556B2F,42.2,-18.8,30.6,停滞的流出。最小の時間性と最大の粘性。,,4,5,6,1,REDUP(畳語・同一)
だーん,da:ŋ,daːŋ,0,9,7,9,6,2,4,150.0,1.03,3,9000.0,7.64,9,h,6,#8B0000,28.1,51.0,41.3,爆発的衝撃。極大のWeightと空間直接性。,,3,8,5,1,LONG+N(長音+ん)
ちかちか,tɕikatɕika,tɕikatɕika,0,2,8,6,5,6,1,2500.0,8.15,8,18000.0,8.82,4,h,6,#FFFF00,97.1,-21.6,94.5,視覚的刺激。高周波(Hz)と高いTime。,,4,5,6,1,REDUP(畳語・同一)
ちくちく,tɕikutɕiku,tɕikutɕiku,0,3,7,8,8,3,1,2000.0,7.58,7,15000.0,8.51,6,c,2,#808080,53.6,-0.0,0.0,針の痛み。高いHardnessと空間直接性。,,4,5,6,1,REDUP(畳語・同一)
ちぐはぐ,tɕiɡuhaɡu,tɕiɡuhaɡu,0,4,6,3,6,6,4,450.0,3.81,6,5000.0,6.65,5,0,4,#778899,55.9,-2.2,-11.1,不一致。中程度の乱流(Re)と不規則なFlow。,,5,5,5,8,COMPOUND(複合・異種)
ちびちび,tɕibitɕibi,tɕibitɕibi,0,2,3,5,9,7,6,600.0,4.54,5,600.0,3.04,4,mc,3,#F5F5DC,95.9,-4.2,12.0,少量。低いWeightと最大の抑制。,,4,5,6,1,REDUP(畳語・同一)
ちまちま,tɕimatɕima,tɕimatɕima,0,3,3,4,8,6,6,500.0,4.07,4,400.0,2.35,5,mc,3,#BDB76B,73.4,-8.8,39.3,小規模。内向的なSpaceと高い抑制。,,4,5,6,1,REDUP(畳語・同一)
ちゃっかり,tɕakkaɾi,tɕakkaɾi,0,3,8,8,6,6,3,1200.0,6.29,8,6000.0,6.95,7,h,6,#FFD700,86.9,-1.9,87.1,抜け目なさ。高い時間性と空間直接性。,,5,5,5,8,COMPOUND(複合・異種)
ちゃらちゃら,tɕaɾatɕaɾa,tɕaɾatɕaɾa,0,3,6,4,1,5,2,2500.0,8.15,5,14000.0,8.39,5,mh,5,#FF69B4,65.5,64.2,-10.6,軽薄。高い流体性と高周波摩擦。,,4,5,6,1,REDUP(畳語・同一)
ちゃらんぽらん,tɕaɾaŋpoɾaŋ,tɕaɾampoɾaŋ,1,2,5,3,0,8,4,600.0,4.54,3,3000.0,5.78,4,h,6,#FFFF00,97.1,-21.6,94.5,無責任。最大の自由Flow 0。,,3,6,0,0,N(撥音単発)
ちゃりん,tɕaɾiŋ,tɕaɾiŋ,0,3,8,9,7,1,2,3000.0,8.61,9,12000.0,8.13,8,c,2,#C0C0C0,77.7,-0.0,0.0,硬貨の音。極めて高いHardnessと時間性。,,3,6,0,0,N(撥音単発)
ちゃん,tɕaŋ,tɕaŋ,0,3,7,8,7,5,4,650.0,4.74,8,3500.0,6.04,7,h,6,#FFFFFF,100.0,-0.0,0.0,完了感。鼻音による共鳴と直接性。,,3,6,0,0,N(撥音単発)
ちやほや,tɕijahoja,tɕijahoja,0,2,3,2,1,9,6,500.0,4.07,2,1000.0,3.91,2,hh,7,#FFC0CB,83.6,24.1,3.3,軟口蓋摩擦音と半母音による低Weight。自由なFlow(1)と高い親密性(hh)。,,5,5,5,8,COMPOUND(複合・異種)
ちゅっ,tɕuʔ,tɕuʔ,0,3,9,9,9,7,5,2000.0,7.58,9,14000.0,8.39,9,hh,7,#FF69B4,65.5,64.2,-10.6,唇の尖鋭化。最大のTime(9)とBoyle Number(9)による気圧圧縮。,,2,5,0,0,Q(促音単発)
ちゅんちゅん,tɕuŋtɕuŋ,tɕuntɕuŋ,1,2,6,7,5,8,4,2500.0,8.15,6,12000.0,8.13,6,h,6,#FFFACD,97.6,-5.4,22.2,高周波(2500Hz)と鼻腔共鳴。高い空間指向性(Space 7)。,,4,5,6,1,REDUP(畳語・同一)
ちゅーちゅー,tɕu:tɕu:,tɕuːtɕuː,0,2,2,5,5,9,7,2800.0,8.44,0,5000.0,6.65,5,mh,5,#FFB6C1,81.1,28.0,5.0,持続的吸引。高い流体性(Hardness 9)と摩擦(Re)。,,4,5,6,1,REDUP(畳語・同一)
ちょいちょい,tɕoitɕoi,tɕoitɕoi,0,2,7,4,4,8,4,1200.0,6.29,6,4000.0,6.27,5,h,6,#FFFFFF,100.0,-0.0,0.0,弾動的なTime(7)。適度な流体運動と高い周波数。,,4,5,6,1,REDUP(畳語・同一)
ちょきちょき,tɕokitɕoki,tɕokitɕoki,0,4,8,8,8,3,2,1500.0,6.86,8,9000.0,7.64,7,mc,3,#708090,52.8,-2.1,-10.6,鋏の切断運動。高いHardness(3)と空間的直接性(Space 8)。,,4,5,6,1,REDUP(畳語・同一)
ちょくちょく,tɕukutɕuku,tɕokutɕoku,1,3,7,6,7,6,4,900.0,5.56,7,6500.0,7.09,6,h,6,#FFFFFF,100.0,-0.0,0.0,断続的反復。抑制(Flow 7)と突発性(Time 7)のバランス。,,4,5,6,1,REDUP(畳語・同一)
ちょこっ,tɕokoʔ,tɕokoʔ,0,2,9,7,9,7,3,1100.0,6.07,9,8000.0,7.44,8,mh,5,#FFFFFF,100.0,-0.0,0.0,最小単位の運動。最大のTime(9)と圧縮遮断(Decay 9)。,,2,5,0,0,Q(促音単発)
ちょっきり,tɕokkiɾi,tɕokkiɾi,0,4,8,9,9,4,1,1300.0,6.49,8,10000.0,7.82,9,0,4,#000000,0.0,0.0,0.0,適合の精度。最大のSpace直接性(9)と抑制。,,5,5,5,8,COMPOUND(複合・異種)
ちょっくら,tɕokkuɾa,tɕokkuɾa,0,3,8,5,4,8,3,800.0,5.26,7,5000.0,6.65,6,h,6,#FFFFFF,100.0,-0.0,0.0,瞬発的な移動。流体的な運動と高い時間性。,,5,5,5,8,COMPOUND(複合・異種)
ちょびちょび,tɕobitɕobi,tɕobitɕobi,0,2,4,4,9,8,6,1400.0,6.68,5,900.0,3.73,5,mc,3,#F5F5DC,95.9,-4.2,12.0,少量の制御。最小のWeightと最大の抑制(Flow 9)。,,4,5,6,1,REDUP(畳語・同一)
ちょびっ,tɕobiʔ,tɕobiʔ,0,3,9,8,9,7,5,1500.0,6.86,9,12000.0,8.13,9,mc,3,#FFFFFF,100.0,-0.0,0.0,局所的遮断。最大のTime(9)とBoyle数。,,2,5,0,0,Q(促音単発)
ちょろちょろ,tɕoɾotɕoɾo,tɕoɾotɕoɾo,0,2,5,2,1,9,9,1000.0,5.83,4,2500.0,5.47,9,mh,5,#E0FFFF,97.9,-9.9,-3.4,小流量の液体。最大Moisture(9)と自由Flow。,,4,5,6,1,REDUP(畳語・同一)
ちょろり,tɕoɾoɾi,tɕoɾoɾi,0,2,6,5,3,9,8,900.0,5.56,6,3000.0,5.78,8,mh,5,#F0F8FF,97.2,-1.3,-4.3,弾き音による少量の離脱。高い流体性と余韻。,,4,6,0,0,RI(り単発)
ちらちら,tɕiɾatɕiɾa,tɕiɾatɕiɾa,0,1,6,2,2,9,2,1800.0,7.32,4,12000.0,8.13,3,c,2,#FFFFFF,100.0,-0.0,0.0,散乱光の物理。低Weightと高Re数（乱流）。,,4,5,6,1,REDUP(畳語・同一)
ちらほら,tɕiɾahoja,tɕiɾahoɾa,1,2,5,1,1,9,4,1200.0,6.29,3,8000.0,7.44,2,c,2,#F5F5F5,96.5,-0.0,0.0,分散状態。最大のSpace間接性と自由Flow。,,5,5,5,8,COMPOUND(複合・異種)
ちんちろりん,tɕintɕiɾoɾiŋ,tɕintɕiɾoɾiŋ,0,2,6,7,5,3,2,3500.0,9.0,5,15000.0,8.51,6,c,2,#C0C0C0,77.7,-0.0,0.0,虫の音。高周波(3500Hz)と金属的Hardness。,,3,6,0,0,N(撥音単発)
ちんまり,tɕinmaɾi,tɕimmaɾi,1,3,2,4,9,6,6,400.0,3.51,3,400.0,2.35,6,mh,5,#BDB76B,73.4,-8.8,39.3,収縮。最小のTime(2)と最大の抑制(Flow 9)。,,5,5,5,8,COMPOUND(複合・異種)
つかつか,tsukatsuka,tsukatsuka,0,5,7,9,3,6,2,500.0,4.07,6,8000.0,7.44,8,h,6,#8B0000,28.1,51.0,41.3,躊躇のない直進。最大Space(9)と強めのWeight。,,4,5,6,1,REDUP(畳語・同一)
つくづく,tsukudzuku,tsukuzuku,1,6,2,4,9,4,7,220.0,2.0,2,1200.0,4.22,9,mc,3,#4B0082,20.5,51.7,-53.3,内省的重圧。重いWeight(6)と最大抑制。,,5,5,5,8,COMPOUND(複合・異種)
つべこべ,tsubekobe,tsubekobe,0,5,6,6,6,6,6,450.0,3.81,5,7000.0,7.22,7,h,6,#DAA520,70.8,8.5,68.8,濁音の連続による反論。中程度の乱流(Re)。,,5,5,5,8,COMPOUND(複合・異種)
つやつや,tsujatsuja,tsujatsuja,0,1,2,2,0,9,6,600.0,4.54,1,100.0,0.0,2,mh,5,#FFB6C1,81.1,28.0,5.0,平滑な反射。最小Weightと最大流体性(9)。,,4,5,6,1,REDUP(畳語・同一)
つるつる,tsuɾutsuɾu,tsuɾutsuɾu,0,1,3,2,0,9,8,450.0,3.81,2,150.0,0.69,4,mh,5,#F0FFFF,98.9,-4.9,-1.7,摩擦の消失。自由なFlowと高いMoisture(8)。,,4,5,6,1,REDUP(畳語・同一)
つん,tsuŋ,tsuŋ,0,4,7,9,8,5,3,900.0,5.56,7,9000.0,7.64,9,c,2,#FFFFFF,100.0,-0.0,0.0,拒絶。最大のSpace直接性(9)と遮断(Decay)。,,3,6,0,0,N(撥音単発)
つんつん,tsuŋtsuŋ,tsuntsuŋ,1,4,6,9,9,3,2,800.0,5.26,4,11000.0,7.98,8,c,2,#FFFFFF,100.0,-0.0,0.0,先鋭的接触。Hardness(3)と抑制(Flow 9)。,,4,5,6,1,REDUP(畳語・同一)
つーかー,tsu:ka:,tsuːkaː,0,3,2,5,2,8,3,500.0,4.07,0,2000.0,5.09,4,h,6,#F5F5F5,96.5,-0.0,0.0,長音による持続。安定した共鳴と流体運動。,,5,5,5,8,COMPOUND(複合・異種)
てかてか,tekateka,tekateka,0,2,4,3,0,9,4,1100.0,6.07,3,5000.0,6.65,3,h,6,#FFD700,86.9,-1.9,87.1,油脂光沢。高い流体性と自由Flow。,,4,5,6,1,REDUP(畳語・同一)
てきぱき,tekipaki,tekipaki,0,4,8,9,5,6,3,1000.0,5.83,8,9000.0,7.64,7,h,6,#FFFFFF,100.0,-0.0,0.0,効率的動作。最大Time(8)と空間直接性(9)。,,5,5,5,8,COMPOUND(複合・異種)
てくてく,tekuteku,tekuteku,0,4,5,7,5,6,3,400.0,3.51,5,4500.0,6.47,6,0,4,#708090,52.8,-2.1,-10.6,持続的歩行。適度なWeightと指向性(Space 7)。,,4,5,6,1,REDUP(畳語・同一)
てっきり,tekkiri,tekkiɾi,1,5,8,9,8,4,2,600.0,4.54,8,8000.0,7.44,9,0,4,#000000,0.0,0.0,0.0,強い確信。高い抑制と空間直接性。,,5,5,5,8,COMPOUND(複合・異種)
てらてら,teɾateɾa,teɾateɾa,0,3,4,2,1,9,7,500.0,4.07,3,4000.0,6.27,5,mh,5,#DAA520,70.8,8.5,68.8,過剰な反射。高い流体性とMoisture(7)。,,4,5,6,1,REDUP(畳語・同一)
でかでか,dekadeka,dekadeka,0,8,4,8,2,5,4,250.0,2.32,3,7000.0,7.22,9,mc,3,#000000,0.0,0.0,0.0,巨視的存在。強大なWeight(8)とSpace(8)。,,4,5,6,1,REDUP(畳語・同一)
でっぷり,deppuɾi,deppuɾi,0,9,2,3,9,4,8,180.0,1.49,5,1500.0,4.6,9,c,2,#4B3621,24.5,6.4,16.8,重量。最大のWeight(9)と抑制(Flow 9)。,,5,5,5,8,COMPOUND(複合・異種)
でぶでぶ,debudebu,debudebu,0,8,3,2,7,5,9,150.0,1.03,3,1200.0,4.22,9,mc,3,#8B4513,37.5,26.4,41.0,緩慢な脂肪質。高いMoistureと重量。,,4,5,6,1,REDUP(畳語・同一)
でれでれ,deɾedeɾe,deɾedeɾe,0,3,1,1,2,9,8,280.0,2.61,1,800.0,3.53,7,hh,7,#FFC0CB,83.6,24.1,3.3,弛緩。最小Time(1)と高温度、高流体性。,,4,5,6,1,REDUP(畳語・同一)
でん,deŋ,deŋ,0,9,2,9,9,2,4,150.0,1.03,7,500.0,2.73,9,mc,3,#000000,0.0,0.0,0.0,不動の質量。最大のWeight、直接性、抑制。,,3,6,0,0,N(撥音単発)
とことこ,tokotoko,tokotoko,0,3,5,6,3,7,3,400.0,3.51,5,3500.0,6.04,5,mh,5,#FFFFFF,100.0,-0.0,0.0,安定した小走。流体性と直接性の中庸。,,4,5,6,1,REDUP(畳語・同一)
とっくり,tokkuɾi,tokkuɾi,0,6,3,5,9,5,7,250.0,2.32,8,2000.0,5.09,8,mh,5,#8B4513,37.5,26.4,41.0,凝縮。高い抑制と適度なMoisture。,,5,5,5,8,COMPOUND(複合・異種)
とっと,totto,totto,0,4,9,8,3,6,2,600.0,4.54,9,11000.0,7.98,8,h,6,#FFFFFF,100.0,-0.0,0.0,駆り立て。最大のTime(9)と空間指向性。,,3,4,0,0,Qto(っと)
とぼとぼ,tobotobo,tobotobo,0,7,2,1,6,6,6,200.0,1.75,3,500.0,2.73,7,c,2,#708090,52.8,-2.1,-10.6,減衰。重いWeight(7)と最小Space(1)。,,4,5,6,1,REDUP(畳語・同一)
とろとろ,とろとろ,toɾotoɾo,1,4,1,1,3,9,9,220.0,2.0,1,600.0,3.04,9,mh,5,#FFFACD,97.6,-5.4,22.2,融解。最大の流体性(9)と水分。,,4,5,6,1,REDUP(畳語・同一)
とんちんかん,tontɕinkaŋ,tontɕiŋkaŋ,1,3,7,3,4,6,2,800.0,5.26,6,12000.0,8.13,4,0,4,#FFFF00,97.1,-21.6,94.5,乖離。高い乱流(Re)と不規則な時間性。,,3,6,0,0,N(撥音単発)
とんとん,tontoŋ,tontoŋ,0,4,7,7,5,4,3,400.0,3.51,6,5500.0,6.81,7,mc,3,#A0522D,43.8,29.3,35.6,リズム。一定のWeightと直接性。,,4,5,6,1,REDUP(畳語・同一)
どかっ,dokaʔ,dokaʔ,0,9,9,9,8,3,3,180.0,1.49,9,18000.0,8.82,9,mc,3,#000000,0.0,0.0,0.0,衝突。最大のWeight(9)と圧縮Boyle数(9)。,,2,5,0,0,Q(促音単発)
どかどか,dokadoka,dokadoka,0,8,8,7,3,6,3,250.0,2.32,7,15000.0,8.51,8,h,6,#8B0000,28.1,51.0,41.3,乱暴。強大なWeightと乱流摩擦。,,4,5,6,1,REDUP(畳語・同一)
どかん,dokaŋ,dokaŋ,0,9,8,9,7,2,4,120.0,0.46,9,20000.0,9.0,9,h,6,#000000,0.0,0.0,0.0,爆発。最大の衝撃波と空間指向性。,,3,6,0,0,N(撥音単発)
どきっ,dokiʔ,dokiʔ,0,7,9,8,9,5,5,350.0,3.17,9,13000.0,8.27,9,h,6,#FF0000,53.2,80.1,67.2,内的衝撃。最大Time(9)と気圧変動。,,2,5,0,0,Q(促音単発)
どきどき,dokidoki,dokidoki,0,6,7,6,8,6,6,300.0,2.78,7,9000.0,7.64,8,h,6,#FF4500,57.6,67.8,69.0,反復拍動。高いWeightと時間密度。,,4,5,6,1,REDUP(畳語・同一)
どぎまぎ,doɡimaɡi,doɡimaɡi,0,5,7,3,7,7,6,400.0,3.51,6,6000.0,6.95,7,h,6,#FFD700,86.9,-1.9,87.1,狼狽。低いSpace(3)と抑制の反転。,,5,5,5,8,COMPOUND(複合・異種)
どしどし,doɕidoɕi,doɕidoɕi,0,8,7,8,4,5,3,280.0,2.61,6,11000.0,7.98,8,h,6,#8B4513,37.5,26.4,41.0,質量推進。強大なWeightと直接性。,,4,5,6,1,REDUP(畳語・同一)
どしゃどしゃ,doɕadoɕa,doɕadoɕa,0,8,6,5,2,8,9,240.0,2.22,5,17000.0,8.72,9,mc,3,#4682B4,52.5,-4.1,-32.2,激流。最大のMoisture(9)と重量。,,4,5,6,1,REDUP(畳語・同一)
